"Entity_Name","Address","Floor","Borough","State","Zip","AED_NumPersonTrained","AED_NumAeds","Latitude","Longitude","Community_District","Council_District","Census_Tract_2010","NTA_Code","BBL","BIN","Location Point","Location Type","Last Updated"
"Zeta Charter School - Tremont Park","1910 Arthur Avenue","FL 07 - Outside Elevator","Bronx","New York","10457","15","1","40.84538467","-73.89349891","206","15","36901","BX17","2029477501","2009910","POINT (-73.89349891 40.84538467)","School","03/10/2025"
"Bronx Green Middle School","2441 Wallace Avenue","Main Entrance","Bronx","New York","10467","3","1","40.8621026","-73.86457504","211","13","33000","BX07","2044320001","2051313","POINT (-73.86457504 40.8621026)","School",
"Morgan Stanley - E52","55 East 52nd Street","FL 30","Manhattan","New York","10055","8","1","40.75882057","-73.97397799","105","4","10200","MN17","1012880027","1083869","POINT (-73.97397799 40.75882057)","Businesses & Commercial Spaces","05/23/2025"
"136 East 79th Street Corp.","136 East 79th Street","Lobby","Manhattan","New York","10021","6","1","40.77512292","-73.95932001","108","4","14000","MN40","1014130057","1043259","POINT (-73.95932001 40.77512292)","Businesses & Commercial Spaces",
"The Equity Project Charter School - Middle","153 Sherman Avenue","3rd fl elevator bank","Manhattan","New York","10034","14","1","40.86463788","-73.92309274","112","10","29100","MN01","1022210005","1064765","POINT (-73.92309274 40.86463788)","School",
"P.S. 069 Journey Prep School","560 Thieriot Avenue","Annex  Building","Bronx","New York","10473","11","1","40.81668649","-73.86090327","209","18","1600","BX09","2035240020","2021482","POINT (-73.86090327 40.81668649)","Public Schools",
"University Prep Charter High School","600 St. Ann's Avenue","Outside Room 421","Bronx","New York","10455","1","1","40.81551851","-73.91222478","201","17","7300","BX34","2026160001","2004314","POINT (-73.91222478 40.81551851)","School",
"Department of Citywide Administrative Services","125 Worth Street","FL 01","Manhattan","New York","10007","8","1","40.71542054","-74.00267301","101","1","3100","MN24","1001680032","1001831","POINT (-74.00267301 40.71542054)","Government Buildings & Services",
"District 2 Pre-K Center at 2-26 Washington St (M391)","2-26 Washington Street","Room 202 Main office","Manhattan","New York","10004","17","1","40.70511839","-74.01559192","101","1","1300","MN25","1000157501","1087080","POINT (-74.01559192 40.70511839)","Public Schools",
"JFK INTERNATIONAL AIRPORT","JFK INTERNATIONAL AIRPORT","N/A","Queens","New York","11430","9","28","40.64831283","-73.7882815","483","31","71600","QN98","4142600001","4542179","POINT (-73.7882815 40.64831283)","Ferries & Other Transportation",
"New Amsterdam Theater","214 West 42nd Street","Command Stations","Manhattan","New York","10036","180","1","40.7563169","-73.98765183","105","3","11300","MN17","1010130039","1024660","POINT (-73.98765183 40.7563169)","Performance Venues",
"P.S. 144 Col Jeromus Remsen","69-20 Juno Street","main entrance","Queens","New York","11375","12","1","40.71527346","-73.85241132","406","29","72900","QN17","4032120001","4614902","POINT (-73.85241132 40.71527346)","Public Schools",
"Bayside High School","32-24 Corporal Kennedy Street","Basement -Outside Nurse's Office","Queens","New York","11361","24","1","40.77174691","-73.78029496","411","19","109700","QN46","4060440001","4134578","POINT (-73.78029496 40.77174691)","School",
"Soulcycle, Inc","350 AMSTERDAM AVENUE","Ground","Manhattan","New York","10023","12","1","40.78165256","-73.9794251","107","6","16300","MN12","1011687501","1087660","POINT (-73.9794251 40.78165256)","Health Clubs & Gyms",
"69th Tenants Corp","150 East 69th Street","Lobby by Board Room / Main Floor Gym / Lower Level Manager Office","Manhattan","New York","10021","12","5","40.76821287","-73.96300662","108","4","12000","MN40","1014030033","1042479","POINT (-73.96300662 40.76821287)","Businesses & Commercial Spaces","04/08/2025"
"The Global Learning Collaborative","145 West 84 Street","3rd Floor, Outside Room 321T","Manhattan","New York","10024","2","1","40.78579617","-73.9746138","107","6","16900","MN12","1012150001","1032128","POINT (-73.9746138 40.78579617)","Public Schools",
"The Empire State Building Company, LLC","350 Fifth Avenue","FL 86 - Handicap Ramp","Manhattan","New York","10118","25","1","40.7482689007","-73.98469027358","105","4","7600","MN17","1008350041","1015862","POINT (-73.984690273581 40.748268900702)","Businesses & Commercial Spaces","09/16/2025"
"P.S. 162 John Golden","201-02 53 Avenue","rm 329","Queens","New York","11364","10","1","40.74902802","-73.77721218","411","20","140901","QN46","4074100001","4159363","POINT (-73.77721218 40.74902802)","Public Schools",
"Urban Scholars Community School","1180 Tinton Avenue","Near Room 302","Bronx","New York","10456","1","1","40.82841218","-73.90072055","203","17","13500","BX35","2026720001","2004869","POINT (-73.90072055 40.82841218)","School",
"Jack Resnick & Sons, Inc.","401 EAST 80 STREET","Pool - 36th Floor","Manhattan","New York","10021","0","1","40.77299021","-73.9521149","108","5","13600","MN32","1015600001","1050360","POINT (-73.9521149 40.77299021)","Businesses & Commercial Spaces",
"Brookfield Properties - New York - One Manhattan","395 9 AVENUE","-","Manhattan","New York","10001","14","8","40.75227175","-73.99712339","104","3","10300","MN13","1007297504","1089972","POINT (-73.99712339 40.75227175)","Businesses & Commercial Spaces",
